pureza,fedi,x1,x2,x3,x4,x5,x6,x7
-0.999000897,324.1372586690328,4.294042184579399,73.16154249068367,59.675203201328515,15,30,42,47
-0.001,10.0,4.983007345025652,80.6514751631403,54.04745376963895,22,8,51,32
-0.001,10.0,4.284211588645306,73.16154249068367,59.21233350658894,32,30,21,48
-0.001,10.0,2.512394951057235,77.84535498710683,54.20879444007177,25,51,42,41
-0.001,10.0,4.568173766038745,92.3775510095363,53.729655040401155,18,42,27,50
-0.001,10.0,2.9951972691335533,52.04200201733776,59.81607139208034,31,31,51,46
-0.001,10.0,2.6761534929008293,63.957548353062684,53.8877505532515,23,3,52,44
-0.001,10.0,2.1155789556310314,65.98860178385539,58.54022571955734,56,53,52,37
-0.001,10.0,4.7260142644926075,58.65510927122345,52.89294361208693,19,27,58,40
-0.001,10.0,4.294042184579399,72.83606930797087,59.856657335777065,18,16,36,47
-0.001,10.0,4.605326438410673,59.94156730965932,53.73158217961199,32,56,54,39
-0.001,10.0,2.2630698699236103,61.940275536267784,52.476303815907976,1,13,52,39
-0.001,10.0,2.6761534929008293,63.957548353062684,54.282861586025376,23,3,13,44
-0.001,10.0,2.512394951057235,74.88430310316578,53.60069255865555,18,51,42,41
-0.001,10.0,4.612589800375788,66.98383053316043,57.44553093836474,6,5,21,44
-0.001,10.0,2.2599902443056488,62.1036317623616,59.03284344780117,28,55,52,40
-0.001,10.0,4.725463862547593,53.20227155704781,54.167764566045086,2,8,56,39
-0.001,10.0,4.605326438410673,56.22083595040169,53.888713483079435,32,56,16,32
-0.001,10.0,2.2630698699236103,65.5544410285538,53.932714680110486,2,13,52,39
-0.001,10.0,2.512394951057235,54.05364662495586,54.34190348169957,25,51,46,41
-0.001,10.0,4.284211588645306,75.09648724459873,59.59983096303691,32,49,21,42
-0.001,10.0,3.200501826359013,73.23155176425385,58.74805712077514,56,31,25,46
-0.001,10.0,2.323738884313527,74.30016930717886,59.2389380450872,24,37,19,45
-0.001,10.0,4.248285544271938,62.1036317623616,58.94166458035915,25,37,52,40
-0.001,10.0,2.076178203329249,60.386316972941664,59.82388430141245,31,52,53,37
-0.001,10.0,4.6196438771139,93.70673859253138,56.217259295063755,14,13,28,49
-0.001,10.0,4.512284362755992,59.805874420217755,57.71485823648769,15,4,45,32
-0.001,10.0,4.290328780105373,76.6019246961177,59.55110946742848,24,49,21,42
-0.001,10.0,4.968745063127548,59.94156730965932,53.73158217961199,32,56,16,39
-0.001,10.0,4.983080299255689,92.3775510095363,53.750914605646884,16,42,27,50
-0.001,10.0,2.2630698699236103,60.40346714717623,52.29996793883121,1,13,53,39
-0.001,10.0,2.31572184493619,77.81830844783066,54.345680977192,25,54,42,41
-0.001,10.0,2.001953307589687,59.17761865918374,59.82388430141245,32,54,12,38
-0.001,10.0,4.605326438410673,53.98866112089961,59.23736359296325,32,56,12,32
-0.001,10.0,3.6336132974114124,85.27205381322088,57.90476083436179,15,4,30,41
